x,celltype
21:02:05:05,HC_ExNeu_CA1
21:02:62:02,FC_ExNeu_PT
21:03:10:06,HC_ExNeu_CA1
21:03:19:05,HC_ExNeu_DG
21:03:92:01,FC_ExNeu_L23
21:04:19:04,HC_ExNeu_CA23
21:04:48:03,FC_ExNeu_L5
21:04:57:03,FC_ExNeu_L5
21:04:61:05,HC_ExNeu_CA1
21:04:66:02,FC_ExNeu_L23
21:05:12:03,FC_ExNeu_L5
21:05:37:05,HC_ExNeu_CA23
21:05:55:01,FC_ExNeu_CT
21:05:80:01,FC_ExNeu_L23
21:06:58:01,FC_ExNeu_L5
21:06:58:05,HC_ExNeu_CA1
21:06:90:04,HC_ExNeu_DG
21:07:78:03,FC_ExNeu_L23
21:08:10:02,FC_ExNeu_PT
21:08:49:02,FC_ExNeu_L23
21:08:50:04,HC_ExNeu_DG
21:08:66:05,HC_ExNeu_DG
21:08:78:01,FC_ExNeu_L23
21:08:81:04,HC_ExNeu_CA23
21:09:45:03,FC_ExNeu_L4
21:09:61:01,FC_ExNeu_L4
21:09:78:02,BR_InNeu_CGE
21:10:57:01,FC_ExNeu_PT
21:10:70:02,FC_ExNeu_L23
21:11:37:03,FC_ExNeu_PT
21:11:51:01,BR_InNeu_Sst
21:12:10:02,FC_ExNeu_PT
21:12:51:02,FC_ExNeu_L23
21:12:70:03,BR_NonNeu_OPC
21:12:81:03,FC_ExNeu_L5
21:13:31:04,HC_ExNeu_CA1
21:13:56:06,HC_ExNeu_CA23
21:14:23:02,FC_ExNeu_L4
21:14:30:03,FC_ExNeu_L23
21:14:34:05,HC_ExNeu_DG
21:15:66:05,BR_NonNeu_Astro_Myoc
21:16:17:05,HC_ExNeu_CA1
21:16:58:02,FC_ExNeu_L5
21:16:58:03,FC_ExNeu_L23
21:16:80:05,HC_ExNeu_CA23
21:17:28:06,HC_ExNeu_CA23
21:17:37:02,FC_ExNeu_CT
21:18:22:03,FC_ExNeu_L4
21:18:34:04,HC_ExNeu_CA1
21:18:38:02,FC_ExNeu_L4
21:18:59:03,FC_ExNeu_L23
21:18:70:04,HC_ExNeu_CA23
21:18:83:03,BR_InNeu_Sst
21:19:84:06,HC_ExNeu_CA23
21:20:02:01,FC_ExNeu_L5
21:20:12:03,FC_ExNeu_PT
21:20:55:01,FC_ExNeu_L23
21:20:55:06,HC_ExNeu_CA23
21:20:56:01,FC_ExNeu_L23
21:20:78:01,FC_ExNeu_L23
21:20:81:02,FC_ExNeu_CT
21:21:33:03,FC_ExNeu_PT
21:21:66:05,BR_NonNeu_Astro_Myoc
21:22:05:02,FC_ExNeu_L23
21:23:46:02,FC_ExNeu_L5
21:23:46:03,FC_ExNeu_PT
21:23:53:02,FC_ExNeu_PT
21:23:85:01,FC_ExNeu_CT
21:24:07:02,FC_ExNeu_L23
21:24:17:02,FC_ExNeu_NP
21:24:34:03,FC_ExNeu_L4
21:24:79:02,FC_ExNeu_L5
21:24:84:03,FC_ExNeu_L4
21:24:90:01,FC_ExNeu_L23
21:25:12:06,BR_NonNeu_Oligo_MOL
21:25:16:04,BR_InNeu_CGE
21:26:28:01,FC_ExNeu_L23
21:26:53:02,FC_ExNeu_L23
21:26:78:01,FC_ExNeu_L4
21:27:05:01,FC_ExNeu_L23
21:27:26:03,FC_ExNeu_L23
21:27:36:01,BR_InNeu_CGE
21:27:61:02,FC_ExNeu_L23
21:27:69:02,FC_ExNeu_L4
21:27:84:05,HC_ExNeu_CA1
21:27:86:04,BR_InNeu_CGE
21:27:88:01,FC_ExNeu_L23
21:28:36:01,FC_ExNeu_L4
21:29:23:03,FC_ExNeu_L5
21:29:49:01,FC_ExNeu_L4
21:29:51:01,FC_ExNeu_L5
21:29:56:02,FC_ExNeu_CT
21:29:62:04,BR_NonNeu_Astro_Myoc
21:30:34:01,FC_ExNeu_L23
21:30:46:03,FC_ExNeu_PT
21:30:71:02,FC_ExNeu_L23
21:31:16:05,HC_ExNeu_CA23
21:31:25:02,FC_ExNeu_L23
21:31:26:04,BR_InNeu_CGE
21:31:58:06,HC_ExNeu_DG
21:32:07:05,HC_ExNeu_CA23
21:32:65:05,BR_NonNeu_Microglia
21:33:68:02,FC_ExNeu_L23
21:33:69:02,FC_ExNeu_L5
21:34:70:04,BR_NonNeu_Endothelial
21:34:70:05,HC_ExNeu_CA23
21:34:75:05,HC_ExNeu_DG
21:35:61:05,HC_ExNeu_Subiculum
21:35:74:03,FC_ExNeu_L23
21:35:86:04,HC_ExNeu_CA1
21:36:07:06,HC_ExNeu_DG
21:36:20:02,BR_InNeu_Pvalb
21:36:28:02,FC_ExNeu_L23
21:36:80:05,HC_ExNeu_CA1
21:37:44:01,FC_ExNeu_L23
21:37:49:05,HC_ExNeu_CA1
21:38:23:04,HC_ExNeu_CA23
21:38:70:02,FC_ExNeu_CT
21:38:88:05,HC_ExNeu_DG
21:39:12:02,FC_ExNeu_L5
21:39:19:04,HC_ExNeu_CA23
21:39:66:01,FC_ExNeu_Claustrum
21:39:71:04,HC_ExNeu_CA23
21:39:88:05,HC_ExNeu_DG
21:40:06:04,BR_InNeu_CGE
21:40:19:01,FC_ExNeu_L4
21:40:78:05,HC_ExNeu_DG
21:41:71:01,FC_ExNeu_L5
21:42:27:05,HC_ExNeu_CA1
21:42:37:05,HC_ExNeu_CA23
21:42:53:02,FC_ExNeu_L23
21:42:53:04,BR_NonNeu_Oligo_MOL
21:42:66:03,FC_ExNeu_CT
21:42:74:03,BR_NonNeu_Endothelial
21:43:19:02,FC_ExNeu_L5
21:43:30:06,BR_InNeu_CGE
21:43:47:05,HC_ExNeu_CA1
21:44:07:05,HC_ExNeu_DG
21:44:28:05,HC_ExNeu_Subiculum
21:44:30:04,HC_ExNeu_CA23
21:44:38:01,FC_ExNeu_L23
21:44:51:01,FC_ExNeu_L23
21:44:68:02,FC_ExNeu_L23
21:44:70:02,FC_ExNeu_L23
21:44:74:02,FC_ExNeu_Claustrum
21:44:83:04,BR_NonNeu_Astro_Myoc
21:45:93:06,HC_ExNeu_CA23
21:46:30:02,FC_ExNeu_L5
21:46:74:06,BR_NonNeu_Oligo_MOL
21:47:20:01,BR_InNeu_Sst
21:47:62:01,FC_ExNeu_L5
21:47:75:03,FC_ExNeu_L23
21:47:93:03,FC_ExNeu_CT
21:47:94:05,HC_ExNeu_Subiculum
21:48:15:03,BR_InNeu_Sst
21:48:56:02,FC_ExNeu_PT
21:49:05:05,HC_ExNeu_CA23
21:49:12:04,HC_ExNeu_CA1
21:49:31:03,FC_ExNeu_L23
21:49:32:03,FC_ExNeu_L4
21:49:68:01,BR_InNeu_Sst
21:50:19:01,BR_InNeu_Pvalb
21:50:58:03,FC_ExNeu_L5
21:50:74:03,FC_ExNeu_L23
21:50:93:01,BR_NonNeu_OPC
21:50:94:05,BR_InNeu_Sst
21:51:49:04,HC_ExNeu_DG
21:51:85:03,FC_ExNeu_L23
21:51:92:01,FC_ExNeu_L23
21:52:15:06,BR_InNeu_Sst
21:52:31:03,FC_ExNeu_L5
21:52:33:01,FC_ExNeu_L4
21:53:24:03,FC_ExNeu_CT
21:53:53:01,BR_InNeu_CGE
21:53:77:04,HC_ExNeu_Subiculum
21:54:15:05,HC_ExNeu_DG
21:54:57:02,FC_ExNeu_NP
21:54:70:01,FC_ExNeu_Claustrum
21:54:74:04,BR_NonNeu_Astro_Myoc
21:55:05:01,FC_ExNeu_L23
21:55:33:05,HC_ExNeu_CA23
21:55:71:03,FC_ExNeu_L23
21:56:16:03,BR_NonNeu_Endothelial
